,año,particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,ncodi,tipo_id
0,2013,0.0,103677.0,64383.0,39294.0,61456.0,990,1
1,2013,324687.0,478280.0,392084.0,86196.0,484228.0,680,1
2,2013,793512.0,1803352.0,1803352.0,0.0,20402.0,411,1
3,2013,0.0,0.0,0.0,0.0,0.0,241,1
4,2013,24406.0,63557.0,55091.0,8466.0,44106.0,558,1
5,2013,0.0,0.0,0.0,0.0,0.0,167,1
6,2013,0.0,0.0,0.0,0.0,0.0,248,1
7,2013,585787.0,2343056.0,2343056.0,0.0,6369.0,224,1
8,2013,153936.0,69348.0,38074.0,31274.0,38397.0,591,1
9,2013,31958.0,52238.0,44864.0,7374.0,40145.0,586,1
10,2013,0.0,0.0,0.0,0.0,0.0,453,1
11,2013,0.0,158145.0,158145.0,0.0,0.0,113,1
12,2013,477217.0,4250824.0,4132722.0,118102.0,725206.0,619,1
13,2013,211124.0,517596.0,517096.0,500.0,5380.0,163,1
14,2013,0.0,0.0,0.0,0.0,0.0,131,1
15,2013,12701.0,46790.0,0.0,46790.0,0.0,375,1
16,2013,129911.0,1193011.0,424598.0,768413.0,208632.0,1090,1
17,2013,235697.0,3013094.0,2461223.0,551871.0,265428.0,764,1
18,2013,0.0,0.0,0.0,0.0,0.0,14,1
19,2013,0.0,0.0,0.0,0.0,0.0,657,1
20,2013,167019.0,823722.0,823722.0,0.0,6327.0,362,1
21,2013,0.0,3163.0,913.0,2250.0,3496.0,989,1
22,2013,0.0,0.0,0.0,0.0,0.0,145,1
23,2013,154341.0,141608.0,133142.0,8466.0,17674.0,511,1
24,2013,59853.0,54509.0,48254.0,6255.0,3251.0,530,1
25,2013,0.0,0.0,0.0,0.0,0.0,6,1
26,2013,0.0,0.0,0.0,0.0,0.0,161,1
27,2013,37369.0,46624.0,29121.0,17503.0,13979.0,623,1
28,2013,0.0,0.0,0.0,0.0,0.0,489,1
29,2013,3955603.0,14528424.0,14464008.0,64416.0,44226.0,875,1
30,2013,0.0,0.0,0.0,0.0,0.0,940,1
31,2013,1466425.0,7101982.0,7050989.0,50993.0,302025.0,946,1
32,2013,468403.0,633021.0,555926.0,77095.0,158224.0,1023,1
33,2013,0.0,0.0,0.0,0.0,0.0,1054,1
34,2013,0.0,0.0,0.0,0.0,0.0,1057,1
35,2013,0.0,0.0,0.0,0.0,0.0,1031,1
36,2013,32206.0,96456.0,0.0,96456.0,64469.0,1032,1
37,2013,968959.0,2670208.0,2490568.0,179640.0,236136.0,1064,1
38,2013,0.0,0.0,0.0,0.0,0.0,226,1
39,2013,200963.0,228103.0,64497.0,163606.0,86745.0,687,1
40,2013,0.0,0.0,0.0,0.0,0.0,745,1
41,2013,0.0,0.0,0.0,0.0,0.0,109,1
42,2013,23138.0,516219.0,84328.0,431891.0,98787.0,808,1
43,2013,2310.0,1636.0,0.0,1636.0,501.0,971,1
44,2013,0.0,0.0,0.0,0.0,0.0,128,1
45,2013,71102.0,514913.0,295475.0,219438.0,13478.0,919,1
46,2013,98109.0,2279182.0,1428410.0,850772.0,506525.0,725,1
47,2013,0.0,0.0,0.0,0.0,0.0,3,1
48,2013,582387.0,12833.0,12833.0,0.0,0.0,386,1
49,2013,942929.0,0.0,0.0,0.0,0.0,306,1
50,2013,69626.0,114325.0,114325.0,0.0,1098.0,15,1
51,2013,0.0,0.0,0.0,0.0,0.0,264,1
52,2013,0.0,0.0,0.0,0.0,0.0,867,1
53,2013,0.0,297.0,117.0,180.0,93.0,910,1
54,2013,9113.0,324898.0,1529.0,323369.0,39943.0,1053,1
55,2013,8221.0,374783.0,301434.0,73349.0,44246.0,1055,1
56,2013,130327.0,26800.0,26800.0,0.0,0.0,1081,1
57,2013,0.0,0.0,0.0,0.0,0.0,1099,1
58,2013,0.0,135724.0,0.0,135724.0,0.0,529,1
59,2013,0.0,0.0,0.0,0.0,0.0,345,1
60,2013,0.0,0.0,0.0,0.0,0.0,515,1
61,2013,0.0,0.0,0.0,0.0,0.0,174,1
62,2013,20591.0,169959.0,42561.0,127398.0,144540.0,523,1
63,2013,1202970.0,19945063.0,19600901.0,344162.0,224576.0,697,1
64,2013,0.0,0.0,0.0,0.0,0.0,239,1
65,2013,759119.0,10485936.0,10261686.0,224250.0,377259.0,287,1
66,2013,0.0,0.0,0.0,0.0,0.0,377,1
67,2013,0.0,0.0,0.0,0.0,0.0,692,1
68,2013,708299.0,0.0,0.0,0.0,0.0,335,1
69,2013,0.0,0.0,0.0,0.0,0.0,435,1
70,2013,0.0,0.0,0.0,0.0,0.0,423,1
71,2013,566046.0,9250272.0,9047814.0,202458.0,16686.0,351,1
72,2013,0.0,0.0,0.0,0.0,0.0,810,1
73,2013,305276.0,138754.0,38577.0,100177.0,34768.0,830,1
74,2013,0.0,0.0,0.0,0.0,0.0,892,1
75,2013,2218050.0,31654594.0,29749643.0,1904951.0,84399.0,921,1
76,2013,6722.0,11964.0,9794.0,2170.0,1024.0,991,1
77,2013,0.0,0.0,0.0,0.0,0.0,992,1
78,2013,47269.0,217474.0,110493.0,106981.0,50637.0,993,1
79,2013,1032300.0,4914686.0,3546759.0,1367927.0,250336.0,1070,1
80,2013,829562.0,62669.0,57517.0,5152.0,1641.0,1095,1
81,2013,29605.0,50043.0,50043.0,0.0,0.0,1094,1
82,2013,1.0,2.0,1.0,1.0,0.0,473,1
83,2013,45875.0,521736.0,275035.0,246701.0,47875.0,663,1
84,2013,0.0,38714.0,0.0,38714.0,0.0,552,1
85,2013,1421634.0,10348423.0,8933763.0,1414660.0,0.0,772,1
86,2013,0.0,0.0,0.0,0.0,14153859.0,568,1
87,2013,31651.0,0.0,0.0,0.0,1088609.0,398,1
88,2013,0.0,436686.0,0.0,436686.0,354642.0,394,1
89,2013,0.0,436686.0,0.0,436686.0,64046.0,614,1
90,2013,206004.0,1237257.0,1237257.0,0.0,369048.0,235,1
91,2013,0.0,71285.0,22413.0,48872.0,770.0,616,1
92,2013,1845978.0,22636211.0,18790494.0,3845717.0,223897.0,267,1
93,2013,155471.0,0.0,0.0,0.0,0.0,565,1
94,2013,924406.0,11092555.0,10056923.0,1035632.0,0.0,220,1
95,2013,1424890.0,19896949.0,19896949.0,0.0,0.0,278,1
96,2013,189426.0,176681.0,176681.0,0.0,0.0,107,1
97,2013,0.0,0.0,0.0,0.0,0.0,141,1
98,2013,493271.0,2800530.0,1749242.0,1051288.0,44761.0,711,1
99,2013,29794.0,1568.0,1568.0,0.0,0.0,204,1
100,2013,94210.0,491053.0,491053.0,0.0,0.0,579,1
101,2013,1040298.0,2087464.0,161295.0,1926169.0,791695.0,348,1
102,2013,0.0,0.0,0.0,0.0,0.0,766,1
103,2013,746623.0,407340.0,407340.0,0.0,0.0,761,1
104,2013,763623.0,16544511.0,16459360.0,85151.0,2865.0,728,1
105,2013,730984.0,20704400.0,20537321.0,167079.0,0.0,280,1
106,2013,1255316.0,6212291.0,6212291.0,0.0,0.0,222,1
107,2013,19092414.0,55785426.0,55785426.0,0.0,0.0,276,1
108,2013,1134114.0,11891177.0,10948449.0,942728.0,0.0,11,1
109,2013,186495.0,1778845.0,1778845.0,0.0,0.0,302,1
110,2013,251950.0,1806119.0,1360856.0,445263.0,1391.0,682,1
111,2013,4276223.0,22886266.0,22886266.0,0.0,374585.0,279,1
112,2013,8747141.0,37987871.0,37987871.0,0.0,0.0,282,1
113,2013,1789540.0,35881378.0,35881378.0,0.0,0.0,281,1
114,2013,1435000.0,457920.0,457920.0,0.0,0.0,183,1
115,2013,14890261.0,6424125.0,6424125.0,0.0,0.0,610,1
116,2013,0.0,0.0,0.0,0.0,0.0,116,1
117,2013,0.0,0.0,0.0,0.0,0.0,115,1
118,2013,53241.0,0.0,0.0,0.0,0.0,114,1
119,2013,0.0,0.0,0.0,0.0,0.0,126,1
120,2013,6765871.0,41484.0,41484.0,0.0,0.0,119,1
121,2013,231512.0,1218663.0,760484.0,458179.0,633870.0,770,1
122,2013,56075.0,99209.0,27269.0,71940.0,0.0,583,1
