,0
0,990
1,680
2,411
3,241
4,558
5,167
6,248
7,224
8,591
9,586
10,453
11,113
12,619
13,163
14,131
15,375
16,1090
17,764
18,14
19,657
20,362
21,989
22,145
23,511
24,530
25,6
26,161
27,623
28,489
29,875
30,940
31,946
32,1023
33,1054
34,1057
35,1031
36,1032
37,1064
38,226
39,687
40,745
41,109
42,808
43,971
44,128
45,919
46,725
47,3
48,386
49,306
50,15
51,264
52,867
53,910
54,1053
55,1055
56,1081
57,1099
58,529
59,345
60,515
61,174
62,523
63,697
64,239
65,287
66,377
67,692
68,335
69,435
70,423
71,351
72,810
73,830
74,892
75,921
76,991
77,992
78,993
79,1070
80,1095
81,1094
82,473
83,663
84,552
85,772
86,568
87,398
88,394
89,614
90,235
91,616
92,267
93,565
94,220
95,278
96,107
97,141
98,711
99,204
100,579
101,348
102,766
103,761
104,728
105,280
106,222
107,276
108,11
109,302
110,682
111,279
112,282
113,281
114,183
115,610
116,116
117,115
118,114
119,126
120,119
121,770
122,583
123,136
124,469
125,642
126,674
127,193
128,526
129,698
130,630
131,124
132,364
133,604
134,123
135,310
136,571
137,296
138,566
139,784
140,102
141,379
142,639
143,457
144,609
145,101
146,454
147,318
148,600
149,545
150,100
151,702
152,778
153,341
154,99
155,767
156,359
157,98
158,132
159,97
160,103
161,110
162,94
163,91
164,664
165,918
166,92
167,95
168,96
169,301
170,492
171,811
172,812
173,832
174,841
175,856
176,859
177,861
178,880
179,883
180,884
181,877
182,911
183,913
184,922
185,923
186,924
187,947
188,951
189,1103
190,972
191,973
192,974
193,975
194,960
195,1028
196,976
197,977
198,1020
199,994
200,995
201,1060
202,1005
203,1061
204,1006
205,1088
206,1089
207,1076
208,1078
209,1033
210,1036
211,1037
212,1039
213,1067
214,1065
215,1066
216,207
217,431
218,387
219,179
220,606
221,925
222,541
223,797
224,627
225,173
226,636
227,205
228,814
229,881
230,771
231,533
232,447
233,815
234,801
235,800
236,389
237,695
238,816
239,833
240,870
241,927
242,961
243,962
244,1079
245,1101
246,666
247,392
248,790
249,650
250,876
251,944
252,952
253,54
254,367
255,538
256,557
257,653
258,647
259,978
260,996
261,729
262,182
263,633
264,685
265,683
266,945
267,953
268,1022
269,1049
270,794
271,415
272,592
273,497
274,726
275,272
276,805
277,5
278,234
279,64
280,842
281,843
282,1025
283,803
284,211
285,773
286,424
287,298
288,594
289,237
290,16
291,768
292,617
293,297
294,105
295,544
296,804
297,470
298,104
299,20
300,550
301,112
302,818
303,914
304,928
305,964
306,1026
307,1068
308,738
309,404
310,274
311,270
312,676
313,709
314,754
315,997
316,734
317,299
318,645
319,17
320,1046
321,420
322,802
323,266
324,580
325,137
326,769
327,776
328,640
329,315
330,40
331,508
332,46
333,590
334,777
335,897
336,965
337,671
338,461
339,376
340,621
341,793
342,1102
343,712
344,32
345,361
346,486
347,595
348,433
349,1058
350,261
351,730
352,577
353,788
354,865
355,979
356,998
357,221
358,506
359,727
360,355
361,487
362,938
363,886
364,835
365,999
366,798
367,504
368,247
369,216
370,654
371,65
372,472
373,427
374,491
375,551
376,106
377,819
378,836
379,915
380,942
381,748
382,198
383,871
384,948
385,1051
386,1083
387,1096
388,679
389,176
390,537
391,608
392,596
393,749
394,758
395,1104
396,436
397,567
398,677
399,670
400,588
401,446
402,753
403,887
404,585
405,245
406,603
407,426
408,232
409,288
410,246
411,284
412,18
413,356
414,401
415,733
416,243
417,380
418,716
419,534
420,185
421,258
422,505
423,268
424,602
425,254
426,705
427,133
428,33
429,143
430,36
431,756
432,662
433,192
434,382
435,322
436,478
437,352
438,628
439,291
440,327
441,690
442,262
443,403
444,312
445,589
446,665
447,334
448,1075
449,751
450,186
451,646
452,536
453,242
454,490
455,500
456,206
457,58
458,572
459,180
460,549
461,582
462,743
463,795
464,269
465,634
466,1
467,717
468,373
469,535
470,824
471,888
472,902
473,968
474,346
475,27
476,165
477,956
478,413
479,149
480,612
481,559
482,7
483,283
484,37
485,153
486,547
487,397
488,556
489,42
490,31
491,740
492,217
493,863
494,889
495,984
496,34
497,791
498,181
499,430
500,495
501,845
502,498
503,314
504,720
505,721
506,485
507,273
508,846
509,847
510,848
511,864
512,916
513,930
514,954
515,943
516,949
517,980
518,981
519,1024
520,1017
521,1000
522,1018
523,1001
524,1007
525,1008
526,1009
527,1010
528,1011
529,1012
530,1013
531,1041
532,1073
533,1087
534,789
535,326
536,442
537,294
538,378
539,402
540,29
541,450
542,656
543,333
544,668
545,684
546,422
547,763
548,741
549,553
550,357
551,899
552,900
553,932
554,950
555,966
556,967
557,982
558,1014
559,1048
560,1080
561,1074
562,722
563,660
564,75
565,249
566,275
567,227
568,150
569,47
570,172
571,581
572,120
573,445
574,471
575,53
576,199
577,575
578,528
579,631
580,699
581,823
582,849
583,869
584,955
585,983
586,1002
587,1015
588,51
589,441
590,715
591,521
592,524
593,432
594,19
595,25
596,26
597,890
598,904
599,957
600,939
601,236
602,735
603,146
604,363
605,187
606,265
607,295
608,496
609,77
610,391
611,240
612,448
613,151
614,425
615,300
616,339
617,826
618,874
619,905
620,736
621,459
622,320
623,45
624,292
625,618
626,463
627,891
628,958
629,244
630,28
631,444
632,479
633,285
634,253
635,481
636,540
637,332
638,41
639,510
640,305
641,708
642,755
643,750
644,696
645,434
646,421
647,827
648,933
649,1030
650,1003
651,1050
652,1043
653,934
654,629
655,21
656,615
657,626
658,417
659,597
660,539
661,343
662,135
663,158
664,775
665,177
666,578
667,416
668,561
669,828
670,860
671,935
672,936
673,986
674,987
675,1021
676,1085
677,658
678,353
679,323
680,620
681,384
682,554
683,209
684,707
685,395
686,969
687,1052
688,739
689,613
690,593
691,704
692,493
693,686
694,257
695,494
696,681
697,286
698,255
699,79
700,81
701,688
702,531
703,514
704,499
705,532
706,190
707,598
708,260
709,838
710,839
711,851
712,852
713,988
714,1056
715,1044
716,644
717,752
718,238
719,325
720,622
721,879
722,906
723,370
724,418
725,574
726,399
727,195
728,783
729,263
730,194
731,214
732,785
733,780
734,782
735,369
736,84
737,713
738,941
739,1091
740,1045
741,1086
742,937
743,1004
744,737
745,765
746,329
747,87
748,527
749,562
750,251
751,129
752,154
753,516
754,184
755,652
756,637
757,88
758,907
759,970
760,1019
761,1016
762,1047
763,635
764,439
765,570
766,1100
767,1105
768,1107
769,458
770,1108
771,1084
772,1106
773,62
774,1111
775,882
776,1109
777,1110
778,1112
779,1113
780,1114
781,324
782,1071
783,1027
784,759
785,462
786,724
787,484
788,1069
789,1118
790,1120
791,1126
792,1137
793,1142
794,1129
795,1140
796,1072
797,1130
798,1141
799,1145
800,1122
801,1133
802,1146
803,349
804,1115
805,1124
806,1062
807,1121
808,1119
809,1123
810,1128
811,1125
812,1135
813,781
814,779
815,908
816,732
817,569
818,156
819,93
820,1059
821,1063
822,1034
823,208
824,308
825,39
826,388
827,703
828,474
829,507
830,63
831,188
832,83
833,85
834,86
835,1150
836,1035
837,1157
838,1151
839,1127
840,1158
841,1116
842,1147
843,1159
844,1156
845,1155
846,1148
847,1152
848,1153
849,1154
850,1149
851,1166
852,1169
853,1163
854,1170
855,1168
856,1171
857,1160
858,1172
859,1164
860,1165
861,1161
